pkg_idx,verId:START_ID(Version),pkgId:END_ID(Package),source_name,target_name,source_version,target_version,kind,os_platform
68,171,63,gnatcoll_postgres,gnatcoll,21.0.0,~21.0.0,BUILD,
68,171,72,gnatcoll_postgres,gnatcoll_sql,21.0.0,~21.0.0,BUILD,
68,171,179,gnatcoll_postgres,postgresql,21.0.0,*,BUILD,
70,177,63,gnatcoll_python3,gnatcoll,21.0.0,~21.0.0,BUILD,
70,177,118,gnatcoll_python3,libpython3dev,21.0.0,^3,BUILD,
64,178,63,gnatcoll_gmp,gnatcoll,22.0.0,~22.0.0,BUILD,
64,178,103,gnatcoll_gmp,libgmp,22.0.0,*,BUILD,
64,179,63,gnatcoll_gmp,gnatcoll,21.0.0,~21.0.0,BUILD,
64,179,103,gnatcoll_gmp,libgmp,21.0.0,*,BUILD,
63,183,106,gnatcoll,libgpr,21.0.0,~21.0.0,BUILD,
63,184,106,gnatcoll,libgpr,22.0.0,~22.0.0,BUILD,
74,185,63,gnatcoll_syslog,gnatcoll,21.0.0,~21.0.0,BUILD,
74,186,63,gnatcoll_syslog,gnatcoll,22.0.0,~22.0.0,BUILD,
72,187,63,gnatcoll_sql,gnatcoll,22.0.0,~22.0.0,BUILD,
72,188,63,gnatcoll_sql,gnatcoll,21.0.0,~21.0.0,BUILD,
69,189,63,gnatcoll_python,gnatcoll,21.0.0,~21.0.0,BUILD,
69,189,117,gnatcoll_python,libpython2dev,21.0.0,^2,BUILD,
76,190,63,gnatcoll_zlib,gnatcoll,22.0.0,~22.0.0,BUILD,
76,190,246,gnatcoll_zlib,zlib,22.0.0,*,BUILD,
76,191,63,gnatcoll_zlib,gnatcoll,21.0.0,~21.0.0,BUILD,
76,191,246,gnatcoll_zlib,zlib,21.0.0,*,BUILD,
75,193,63,gnatcoll_xref,gnatcoll,22.0.0,~22.0.0,BUILD,
75,193,65,gnatcoll_xref,gnatcoll_iconv,22.0.0,~22.0.0,BUILD,
75,193,72,gnatcoll_xref,gnatcoll_sql,22.0.0,~22.0.0,BUILD,
75,193,73,gnatcoll_xref,gnatcoll_sqlite,22.0.0,~22.0.0,BUILD,
75,194,63,gnatcoll_xref,gnatcoll,21.0.0,~21.0.0,BUILD,
75,194,65,gnatcoll_xref,gnatcoll_iconv,21.0.0,~21.0.0,BUILD,
75,194,72,gnatcoll_xref,gnatcoll_sql,21.0.0,~21.0.0,BUILD,
75,194,73,gnatcoll_xref,gnatcoll_sqlite,21.0.0,~21.0.0,BUILD,
73,195,63,gnatcoll_sqlite,gnatcoll,21.0.0,~21.0.0,BUILD,
73,195,72,gnatcoll_sqlite,gnatcoll_sql,21.0.0,~21.0.0,BUILD,
73,196,63,gnatcoll_sqlite,gnatcoll,22.0.0,~22.0.0,BUILD,
73,196,72,gnatcoll_sqlite,gnatcoll_sql,22.0.0,~22.0.0,BUILD,
67,202,63,gnatcoll_omp,gnatcoll,21.0.0,~21.0.0,BUILD,
67,202,105,gnatcoll_omp,libgomp,21.0.0,*,BUILD,
67,203,63,gnatcoll_omp,gnatcoll,22.0.0,~22.0.0,BUILD,
67,203,105,gnatcoll_omp,libgomp,22.0.0,*,BUILD,
71,204,63,gnatcoll_readline,gnatcoll,22.0.0,~22.0.0,BUILD,
71,204,119,gnatcoll_readline,libreadline,22.0.0,*,BUILD,
71,205,63,gnatcoll_readline,gnatcoll,21.0.0,~21.0.0,BUILD,
71,205,119,gnatcoll_readline,libreadline,21.0.0,*,BUILD,
28,206,135,aws,make,21.0.0,*,BUILD,
28,206,241,aws,xmlada,21.0.0,~21.0.0,BUILD,
164,209,163,minisamd51_example,minisamd51_bsp,0.1.0,^0.1.0,BUILD,
164,210,163,minisamd51_example,minisamd51_bsp,0.1.1,^0.1.0,BUILD,
162,211,0,minirest,aaa,0.1.0,~0.2.1,BUILD,
162,211,41,minirest,curl,0.1.0,*,BUILD,
163,212,193,minisamd51_bsp,samd51_hal,0.1.0,^0.2.0,BUILD,
163,212,81,minisamd51_bsp,hal,0.1.0,^0.1.0,BUILD,
161,213,160,microbit_examples,microbit_bsp,0.1.0,^0.1.0,BUILD,
160,214,81,microbit_bsp,hal,0.2.0,^0.1.0,BUILD,
160,214,167,microbit_bsp,nrf5x_hal,0.2.0,^0.1.0,BUILD,
160,214,47,microbit_bsp,embedded_components,0.2.0,^0.1.0,BUILD,
160,215,81,microbit_bsp,hal,0.1.0,^0.1.0,BUILD,
160,215,167,microbit_bsp,nrf5x_hal,0.1.0,^0.1.0,BUILD,
160,215,47,microbit_bsp,embedded_components,0.1.0,^0.1.0,BUILD,
169,219,168,openglada_glfw,openglada,0.9.0,~0.9.0,BUILD,
169,219,102,openglada_glfw,libglfw3,0.9.0,^3,BUILD,
170,220,57,openglada_images,gid,0.9.0,^9.0.0,BUILD,
170,220,168,openglada_images,openglada,0.9.0,~0.9.0,BUILD,
171,221,168,openglada_text,openglada,0.9.0,~0.9.0,BUILD,
171,221,53,openglada_text,freetypeada,0.9.0,~0.1.0,BUILD,
168,222,127,openglada,libx11,0.6.0,^1,BUILD,linux
168,223,127,openglada,libx11,0.9.0,^1,BUILD,linux
46,227,225,elada,utilada,1.7.0,^2.0.0,BUILD,
133,229,131,lvgl_ada_simulator,lvgl_ada,0.1.1,^0.1.0,BUILD,
133,229,194,lvgl_ada_simulator,sdlada,0.1.1,^2.3.1,BUILD,
133,230,131,lvgl_ada_simulator,lvgl_ada,0.1.0,^0.1.0,BUILD,
133,230,194,lvgl_ada_simulator,sdlada,0.1.0,^2.3.1,BUILD,
132,231,131,lvgl_ada_examples,lvgl_ada,0.1.0,^0.1.0,BUILD,
132,231,133,lvgl_ada_examples,lvgl_ada_simulator,0.1.0,^0.1.0,BUILD,
88,232,145,jupyter_kernel,matreshka_league,1.0.0,any,BUILD,
88,232,212,jupyter_kernel,spawn,1.0.0,any,BUILD,
88,232,243,jupyter_kernel,zeromq_ada,1.0.0,any,BUILD,
40,235,81,cortex_m,hal,0.1.0,^0.1.0,BUILD,
40,236,81,cortex_m,hal,0.3.0,^0.1.0,BUILD,
40,237,81,cortex_m,hal,0.2.0,^0.1.0,BUILD,
86,239,0,iterators,aaa,0.1.0,~0.2.1,BUILD,
37,241,95,canberra_ada,libcanberra,2.0.0,~0.30.0,BUILD,
37,242,95,canberra_ada,libcanberra,2.0.1,~0.30.0,BUILD,
51,243,165,felix,msys2_runtime,0.2.0,>=3.0,BUILD,windows
47,245,81,embedded_components,hal,0.1.0,^0.1.0,BUILD,
47,245,9,embedded_components,adl_middleware,0.1.0,^0.1.0,BUILD,
239,248,241,xia,xmlada,1.4.0,^21.0.0,BUILD,
217,249,241,templates_parser,xmlada,21.0.0,~21.0.0,BUILD,
217,250,241,templates_parser,xmlada,17.2.0,any,BUILD,
217,251,241,templates_parser,xmlada,22.0.0,~22.0.0,BUILD,
234,254,28,webdriver,aws,1.0.0,any,BUILD,
234,254,145,webdriver,matreshka_league,1.0.0,any,BUILD,
245,259,42,zipdcf,dcf,2.0.2,^2.0,BUILD,
216,262,63,startup_gen,gnatcoll,22.0.0,~22.0.0,BUILD,
216,262,106,startup_gen,libgpr,22.0.0,~22.0.0,BUILD,
216,262,217,startup_gen,templates_parser,22.0.0,~22.0.0,BUILD,
216,263,63,startup_gen,gnatcoll,21.0.0,~21.0.0,BUILD,
216,263,106,startup_gen,libgpr,21.0.0,~21.0.0,BUILD,
216,263,217,startup_gen,templates_parser,21.0.0,~21.0.0,BUILD,
180,264,18,progress_indicators,ansiada,0.0.1,~0.1.0,BUILD,
181,265,4,protobuf,ada_pretty,1.0.0,any,BUILD,
181,265,145,protobuf,matreshka_league,1.0.0,any,BUILD,
203,266,183,shoot_n_loot,pygamer_simulator,0.1.0,^0.1.1,BUILD,
203,266,54,shoot_n_loot,geste,0.1.0,^1.1.0,BUILD,
203,266,232,shoot_n_loot,virtapu,0.1.0,^0.1.1,BUILD,
203,267,183,shoot_n_loot,pygamer_simulator,1.0.0,~1.0.0,BUILD,
203,267,182,shoot_n_loot,pygamer_bsp,1.0.0,~1.0.0,BUILD,
203,267,54,shoot_n_loot,geste,1.0.0,^1.1.0,BUILD,
203,267,232,shoot_n_loot,virtapu,1.0.0,~0.2.0,BUILD,
175,269,174,pico_examples,pico_bsp,0.5.0,~0.5,BUILD,
175,270,174,pico_examples,pico_bsp,0.7.0,~0.7,BUILD,
175,271,174,pico_examples,pico_bsp,1.1.0,^1,BUILD,
175,272,174,pico_examples,pico_bsp,0.4.0,~0.4,BUILD,
175,273,174,pico_examples,pico_bsp,0.6.0,~0.6,BUILD,
175,274,174,pico_examples,pico_bsp,0.2.1,~0.2,BUILD,
175,275,174,pico_examples,pico_bsp,1.0.0,~1.0,BUILD,
174,276,81,pico_bsp,hal,1.0.0,~0.1,BUILD,
174,276,189,pico_bsp,rp2040_hal,1.0.0,~1.0,BUILD,
174,277,81,pico_bsp,hal,0.2.1,~0.1,BUILD,
174,277,189,pico_bsp,rp2040_hal,0.2.1,~0.2,BUILD,
174,278,81,pico_bsp,hal,0.4.0,~0.1,BUILD,
174,278,189,pico_bsp,rp2040_hal,0.4.0,~0.4,BUILD,
174,279,81,pico_bsp,hal,0.6.0,~0.1,BUILD,
174,279,189,pico_bsp,rp2040_hal,0.6.0,~0.6,BUILD,
174,280,81,pico_bsp,hal,1.1.0,~0.1,BUILD,
